url,published_date,newspaper_name,county
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18501227/023/0001,Friday 27 December 1850,Sun (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520911/046/0002,Saturday 11 September 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002264/18510330/083/0012,Sunday 30 March 1851,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002265/18521225/140/0027,Saturday 25 December 1852,Weekly Chronicle (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520525/109/0001,Tuesday 25 May 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18521023/068/0015,Saturday 23 October 1852,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002408/18520830/056/0004,Monday 30 August 1852,Morning Herald (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002254/18510524/189/0032,Saturday 24 May 1851,Lady's Newspaper and Pictorial Times,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0000156/18520526/009/0001,Wednesday 26 May 1852,Bury and Norwich Post,"Suffolk, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002642/18520623/028/0003,Wednesday 23 June 1852,Express (London),"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0003028/18511112/136/0016,Wednesday 12 November 1851,British Banner 1848,"London, England"
https://www.britishnewspaperarchive.co.uk/viewer/bl/0002194/18511002/010/0002,Thursday 02 October 1851,Sun (London),"London, England"
